AFFYMETRIX_ID	Name	Species
1421156_a_at	desmocollin 2(Dsc2)	Mus musculus
1426911_at	desmocollin 2(Dsc2)	Mus musculus
1460372_at	dual oxidase maturation factor 1(Duoxa1)	Mus musculus
1441672_at	DNA segment, Chr 3, ERATO Doi 547, expressed(D3Ertd547e)	Mus musculus
1441610_at	PHD finger protein 24(Phf24)	Mus musculus
1433923_at	keratin 77(Krt77)	Mus musculus
1449555_a_at	fetuin beta(Fetub)	Mus musculus
1422196_at	5-hydroxytryptamine (serotonin) receptor 5B(Htr5b)	Mus musculus
1446120_at	U2AF homology motif (UHM) kinase 1(Uhmk1)	Mus musculus
1457666_s_at	interferon-activable protein 202-like(LOC100044068)	Mus musculus
1444650_at	rho/rac guanine nucleotide exchange factor (GEF) 18(Arhgef18)	Mus musculus
1434271_at	glucosidase beta 2(Gba2)	Mus musculus
1432058_at	RIKEN cDNA 4930474H20 gene(4930474H20Rik)	Mus musculus
1455889_at	fatty acyl CoA reductase 2(Far2)	Mus musculus
1423476_at	solute carrier family 46, member 2(Slc46a2)	Mus musculus
1457518_at	HID1 domain containing(Hid1)	Mus musculus
1432976_at	carboxylesterase 2F(Ces2f)	Mus musculus
1453820_at	cDNA sequence BC065403(BC065403)	Mus musculus
1424683_at	family with sequence similarity 134, member B(Fam134b)	Mus musculus
1450505_a_at	family with sequence similarity 134, member B(Fam134b)	Mus musculus
1460674_at	progestin and adipoQ receptor family member VII(Paqr7)	Mus musculus
1426252_a_at	uromodulin(Umod)	Mus musculus
1439016_x_at	small proline-rich protein 2A3(Sprr2a3)	Mus musculus
1424409_at	claudin 23(Cldn23)	Mus musculus
1419394_s_at	S100 calcium binding protein A8 (calgranulin A)(S100a8)	Mus musculus
1448756_at	S100 calcium binding protein A9 (calgranulin B)(S100a9)	Mus musculus
1453916_at	RIKEN cDNA 4933431K23 gene(4933431K23Rik)	Mus musculus
1449994_at	epithelial mitogen(Epgn)	Mus musculus
1420550_at	late cornified envelope 1F(Lce1f)	Mus musculus
1445310_at	predicted gene, 29719(Gm29719)	Mus musculus
1456481_at	extended synaptotagmin-like protein 3(Esyt3)	Mus musculus
1436614_at	membrane-associated ring finger (C3HC4) 3(March3)	Mus musculus
1449237_at	arachidonate lipoxygenase 3(Aloxe3)	Mus musculus
1450019_at	chemokine (C-X3-C motif) receptor 1(Cx3cr1)	Mus musculus
1436917_s_at	G-protein signalling modulator 1 (AGS3-like, C. elegans)(Gpsm1)	Mus musculus
1432558_a_at	myelin and lymphocyte protein, T cell differentiation protein(Mal)	Mus musculus
1454762_at	X-linked Kx blood group related, X-linked(Xkrx)	Mus musculus
1446976_at	DNA segment, Chr 7, ERATO Doi 758, expressed(D7Ertd758e)	Mus musculus
1446498_at	interleukin 20 receptor, alpha(Il20ra)	Mus musculus
1453238_s_at	RIKEN cDNA 3930401B19 gene(3930401B19Rik)	Mus musculus
1418645_at	histidine ammonia lyase(Hal)	Mus musculus
1446246_at	predicted gene 438(Gm438)	Mus musculus
1452543_a_at	secretoglobin, family 1A, member 1 (uteroglobin)(Scgb1a1)	Mus musculus
1432787_at	RIKEN cDNA 6720420G18 gene(6720420G18Rik)	Mus musculus
1422672_at	small proline-rich protein 1B(Sprr1b)	Mus musculus
1437145_s_at	cysteine rich tail 1(Cysrt1)	Mus musculus
1457254_x_at	transmembrane protein 229B(Tmem229b)	Mus musculus
1454632_at	transmembrane protein 229B(Tmem229b)	Mus musculus
1421551_s_at	interferon activated gene 202B(Ifi202b)	Mus musculus
1460514_s_at	achaete-scute family bHLH transcription factor 2(Ascl2)	Mus musculus
1422583_at	RAB3B, member RAS oncogene family(Rab3b)	Mus musculus
1448932_at	keratin 16(Krt16)	Mus musculus
1433858_at	leucine rich repeat containing 28(Lrrc28)	Mus musculus
1423271_at	gap junction protein, beta 2(Gjb2)	Mus musculus
1450811_at	small proline-rich protein 2J, pseudogene(Sprr2j-ps)	Mus musculus
1434346_at	RUN and FYVE domain-containing 2(Rufy2)	Mus musculus
1448613_at	extracellular matrix protein 1(Ecm1)	Mus musculus
1452487_x_at	paired-Ig-like receptor A1(Pira1)	Mus musculus
1419731_at	cytochrome P450, family 2, subfamily b, polypeptide 19(Cyp2b19)	Mus musculus
1420741_x_at	late cornified envelope 1I(Lce1i)	Mus musculus
1431093_at	nephronophthisis 3 (adolescent)(Nphp3)	Mus musculus
1431754_at	coiled-coil domain containing 173(Ccdc173)	Mus musculus
1450571_a_at	beaded filament structural protein 1, in lens-CP94(Bfsp1)	Mus musculus
1429702_at	RIKEN cDNA 2900072G11 gene(2900072G11Rik)	Mus musculus
1417932_at	interleukin 18(Il18)	Mus musculus
1427700_x_at	keratin 6A(Krt6a)	Mus musculus
1422784_at	keratin 6A(Krt6a)	Mus musculus
1422783_a_at	keratin 6A(Krt6a)	Mus musculus
1421473_at	interleukin 1 alpha(Il1a)	Mus musculus
1422588_at	keratin 6B(Krt6b)	Mus musculus
1427082_at	short chain dehydrogenase/reductase family 42E, member 1(Sdr42e1)	Mus musculus
1419591_at	gasdermin C2(Gsdmc2)	Mus musculus
1419532_at	interleukin 1 receptor, type II(Il1r2)	Mus musculus
1443974_at	phospholipase C-like 1(Plcl1)	Mus musculus
1419588_at	sperm associated antigen 1(Spag1)	Mus musculus
1451601_a_at	spinster homolog 2(Spns2)	Mus musculus
1416200_at	interleukin 33(Il33)	Mus musculus
1454058_at	RIKEN cDNA 4931406E20 gene(4931406E20Rik)	Mus musculus
1448241_at	GM2 ganglioside activator protein(Gm2a)	Mus musculus
1434083_a_at	ELMO/CED-12 domain containing 1(Elmod1)	Mus musculus
1451453_at	death-associated protein kinase 2(Dapk2)	Mus musculus
1425321_a_at	calmin(Clmn)	Mus musculus
1438219_at	purine rich element binding protein A(Pura)	Mus musculus
1451287_s_at	allograft inflammatory factor 1-like(Aif1l)	Mus musculus
1424263_at	allograft inflammatory factor 1-like(Aif1l)	Mus musculus
1450470_at	EPS8-like 1(Eps8l1)	Mus musculus
1431821_a_at	EPS8-like 1(Eps8l1)	Mus musculus
1450004_at	thymic stromal lymphopoietin(Tslp)	Mus musculus
1438849_at	keratin 78(Krt78)	Mus musculus
1419317_x_at	late cornified envelope 3C(Lce3c)	Mus musculus
1440887_at	acid phosphatase 7, tartrate resistant(Acp7)	Mus musculus
1447669_s_at	guanine nucleotide binding protein (G protein), gamma 4(Gng4)	Mus musculus
1421346_a_at	solute carrier family 6 (neurotransmitter transporter, taurine), member 6(Slc6a6)	Mus musculus
1435462_at	phosphatidylinositol-specific phospholipase C, X domain containing 2(Plcxd2)	Mus musculus
1455324_at	phosphatidylinositol-specific phospholipase C, X domain containing 2(Plcxd2)	Mus musculus
1420006_at	bone morphogenetic protein 15(Bmp15)	Mus musculus
1418301_at	interferon regulatory factor 6(Irf6)	Mus musculus
1431426_at	regulation of nuclear pre-mRNA domain containing 2(Rprd2)	Mus musculus
1449873_at	bone morphogenetic protein 8a(Bmp8a)	Mus musculus
1420753_at	tolloid-like(Tll1)	Mus musculus
1441981_at	transmembrane protease, serine 11f(Tmprss11f)	Mus musculus
1430661_at	myosin, light polypeptide 6B(Myl6b)	Mus musculus
1443163_at	solute carrier family 39 (zinc transporter), member 2(Slc39a2)	Mus musculus
1459713_s_at	anoctamin 1, calcium activated chloride channel(Ano1)	Mus musculus
1435572_at	ring finger protein 225(Rnf225)	Mus musculus
1430715_at	ring finger protein 225(Rnf225)	Mus musculus
1437518_at	predicted gene 2694(Gm2694)	Mus musculus
