accession	name	species	genus	family	order	class	phylum	superkingdom
NZ_CP015425.1	[Haemophilus] ducreyi strain VAN2	[Haemophilus] ducreyi	Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria
NZ_CP011797.1	Reinekea forsetii strain Hel1_31_D35	Reinekea forsetii	Reinekea	Saccharospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
NZ_CP024847.1	Aquella oligotrophica strain DSM 100970	Aquella oligotrophica	Aquella	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
NZ_CP009291.1	Novosphingobium pentaromativorans US6-1	Novosphingobium pentaromativorans	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
NZ_CP050318.1	Chlamydia buteonis strain IDL17-4553	Chlamydia psittaci	Chlamydia	Chlamydiaceae	Chlamydiales	Chlamydiia	Chlamydiae	Bacteria
NZ_AP024524.1	Acinetobacter variabilis strain RYU24	Acinetobacter sp. ACNIH1	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria
NZ_CP072186.1	Riemerella anatipestifer strain 20190403E1-1	Riemerella anatipestifer	Riemerella	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
NZ_CP014864.1	Microbulbifer thermotolerans strain DAU221	Microbulbifer thermotolerans	Microbulbifer	Microbulbiferaceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
NZ_CP042808.1	Acetobacter oryzoeni strain B6	Acetobacter oryzoeni	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
NZ_CP010427.1	Allofrancisella guangzhouensis strain 08HL01032	Allofrancisella guangzhouensis	Allofrancisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
NZ_CP046276.1	Spiroplasma tabanidicola strain TAUS-1	Spiroplasma tabanidicola	Spiroplasma	Spiroplasmataceae	Entomoplasmatales	Mollicutes	Tenericutes	Bacteria
NZ_CP038034.1	Achromobacter insolitus strain LCu2	Achromobacter insolitus	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
NZ_CP029185.2	Limnobaculum parvum strain HYN0051	Limnobaculum parvum	Limnobaculum	Budviciaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
NZ_CP031835.1	Lactobacillus amylolyticus strain L5	Lactobacillus amylolyticus	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
NZ_CP029550.1	Methylobacterium durans strain 17SD2-17	Methylobacterium durans	Methylobacterium	Methylobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
NZ_CP025120.1	Kangiella profundi strain FT102	Kangiella profundi	Kangiella	Kangiellaceae	Kangiellales	Gammaproteobacteria	Proteobacteria	Bacteria
NZ_AP022843.1	Halomonas hydrothermalis strain Slthf2	Halomonas hydrothermalis	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
NZ_CP018199.1	Staphylococcus succinus strain 14BME20	Staphylococcus succinus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
NZ_CP059560.1	Aromatoleum petrolei strain ToN1	Azoarcus sp. CIB	Azoarcus	Zoogloeaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria	Bacteria
NZ_CP031843.2	Bartonella kosoyi strain Tel Aviv	Bartonella kosoyi	Bartonella	Bartonellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
NZ_CP023445.1	Actinosynnema pretiosum strain X47	Actinosynnema pretiosum	Actinosynnema	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Bacteria
NZ_CP054015.1	Streptococcus gallolyticus strain FDAARGOS_755	Streptococcus gallolyticus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
NZ_CP069053.1	Wolbachia endosymbiont of Drosophila yakuba strain wYak isolate KB166	Wolbachia endosymbiont of Drosophila simulans	Wolbachia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria
NZ_CP013661.2	Planococcus kocurii strain ATCC 43650	Planococcus kocurii	Planococcus	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
NZ_CP008849.1	Alteromonas australica strain H 17	Alteromonas australica	Alteromonas	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
NZ_CP029458.1	Clostridium novyi strain 150557	Clostridium novyi	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
NZ_CP017466.1	Staphylococcus nepalensis strain JS11	Staphylococcus nepalensis	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
NZ_CP023777.1	Chitinophaga caeni strain 13	Chitinophaga caeni	Chitinophaga	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
NZ_CP038157.1	Corynebacterium sanguinis strain CCUG 58655	Corynebacterium sanguinis	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
NZ_CP088285.1	Bradyrhizobium septentrionale strain 1S1	Bradyrhizobium sp. 6(2017)	Bradyrhizobium	Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
NZ_CP011125.1	Sandaracinus amylolyticus strain DSM 53668	Sandaracinus amylolyticus	Sandaracinus	Sandaracinaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
NZ_CP058595.1	Costertonia aggregata strain KCCM 42265	Maribacter sp. MJ134	Maribacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
NZ_CP045743.1	Listeria innocua strain CFSAN044836	Listeria innocua	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	Bacteria
NZ_CP056775.1	Dyadobacter sandarakinus strain Q3-56	Dyadobacter fermentans	Dyadobacter	Spirosomaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
NZ_CP045720.1	Pantoea eucalypti strain LMG 24197	Pantoea eucalypti	Pantoea	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
NZ_CP021872.1	Borrelia miyamotoi strain CA17-2241	Borrelia miyamotoi	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
NZ_CP032134.1	Acinetobacter chinensis strain WCHAc010005	Acinetobacter chinensis	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria
NZ_CP042243.1	Crassaminicella thermophila strain SY095	Crassaminicella thermophila	Crassaminicella	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
NZ_CP027062.1	Pukyongia salina strain RR4-38	Pukyongia salina	Pukyongia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
NZ_CP009498.1	Endomicrobium proavitum strain Rsa215	Endomicrobium proavitum	Endomicrobium	Endomicrobiaceae	Endomicrobiales	Endomicrobia	Elusimicrobia	Bacteria
NZ_CP051548.1	Phytobacter diazotrophicus strain UAEU22	Phytobacter diazotrophicus	Phytobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
NZ_CP017146.1	Marisediminicola antarctica strain ZS314	Marisediminicola antarctica	Marisediminicola	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
NZ_CP029206.1	Actinobacillus porcitonsillarum strain 9953L55	Actinobacillus porcitonsillarum	Actinobacillus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria
NZ_CP030140.1	Mycoplasma anseris strain ATCC 49234	Metamycoplasma anseris	Metamycoplasma	Metamycoplasmataceae	Mycoplasmoidales	Unclassified Tenericutes	Tenericutes	Bacteria
NZ_CP026652.1	Streptomyces dengpaensis strain XZHG99	Streptomyces dengpaensis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Bacteria
NZ_AP014521.1	Candidatus Tachikawaea gelatinosa strain UwTKB	Candidatus Tachikawaea gelatinosa	Candidatus Tachikawaea	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
NZ_CP048103.1	Kroppenstedtia eburnea strain DSM 45196	Kroppenstedtia eburnea	Kroppenstedtia	Thermoactinomycetaceae	Bacillales	Bacilli	Firmicutes	Bacteria
NZ_CP029797.1	Paraliobacillus zengyii strain X-1125	Paraliobacillus zengyii	Paraliobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
NZ_AP019697.1	Dialister hominis strain 5BBH33	Dialister hominis	Dialister	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria
NZ_CP020038.1	Agarilytica rhodophyticola strain 017	Agarilytica rhodophyticola	Agarilytica	Cellvibrionaceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
