ID	KO1	KO2	KO3	WT1	WT2	WT3
1415759_a_at	7637.7	7330.5	7991.4	7476.5	8368.6	8450.5
1415760_s_at	17673.6	17175.7	17025.4	14770.4	14376.2	10986
1415761_at	4716.6	4604.5	5493	4713.3	5626.9	5001.1
1415762_x_at	5620.7	6381.1	6685.6	5215.9	5485.1	5797
1415763_a_at	6766.9	8204.2	8661.2	7560.8	10620.8	7831.8
1415764_at	24117.2	23703.3	22543.8	23511.6	24802.7	25978.1
1415765_at	4333.8	4626.7	4688.5	4465	4637.6	3912.9
1415766_at	3595.3	3516.5	3928.3	3347.4	3850.6	3791.2
1415767_at	6099.1	5114.3	5989.2	5083.7	4356.2	4937.7
1415768_a_at	7264.9	6811.5	8508.3	9147	14711.6	12573.6
1415769_at	3267.1	2943.4	3067.7	3566.2	4178.7	3504.8
1415770_at	2222.1	2563.7	3000.7	3399.8	3497.2	3453.1
1415771_at	35463	38831.5	38651.5	32687.6	33412.4	34088.5
1415772_at	2201.3	1920.7	2223.7	1847	1854.8	2183.9
1415773_at	12955.4	12350.9	13621.7	11136.6	10504.4	11040.1
1415774_at	2158.2	1912.6	2530.1	1272.9	1008.9	2052.1
1415775_at	26569.5	27628.2	27345.5	30247.5	31929.5	32781.6
1415776_at	1280.1	1122.1	1572.5	1359.5	1336.8	1541
1415777_at	51.6	67	227.2	135.7	48	18.6
1415778_at	34871.1	36446.2	33037.2	33778.5	34170.2	34078
1415779_s_at	86461.8	89921.4	88420.1	86291.9	91229.4	84141.7
1415780_a_at	7621.1	5959.5	8540.6	8622.3	9301.1	9771.8
1415781_a_at	60383.6	58549.8	61693.6	61480.2	66983.9	62508.4
1415782_at	30098.7	29805.7	31641.5	28600.7	28878.3	29064.7
1415783_at	19208.4	17754.9	18377	17977.4	17224.8	16177.8
1415784_at	1848.1	2692.5	1574.1	1921.4	1025.3	1559.7
1415785_a_at	14350	13859.1	14764.2	12985.9	13033.7	14073.8
1415786_at	21	118	119.3	198.6	298.8	184.3
1415787_at	3985.7	3798.9	3995.3	3855.1	3617.8	3903.1
1415788_at	3035.5	3308.2	3373.7	2896	2951.8	3584.6
1415789_a_at	1246.1	1195.7	1933.5	1129.3	742.7	1498.9
1415790_at	1218.6	1695.7	958.8	1255.3	782	1211.3
1415791_at	3447.8	3842	3194.6	2630.5	2837.2	2740.3
1415792_at	2204.3	2997.6	3053.5	2243.3	2631.5	2474.9
1415793_at	2730.5	3153.7	2524.4	1769.8	1915.9	1986
1415794_a_at	9251.3	8662.1	9483.2	7080.3	7848.2	8269.9
1415795_at	1374.4	1259	1184.2	1132.1	925.1	839.5
1415796_at	17391	16400.9	17315.7	14184.5	13678.3	13583.3
1415797_at	4169.5	3508.7	3392.5	1771.3	2106.7	1993.5
1415798_at	2192.6	2297.2	1909.8	1035	813.4	1010.4
1415799_at	5886.3	5762.9	6815.9	5357.1	5485.6	5399.3
1415800_at	62555.4	58391.7	69244.1	42438.6	46777.4	41519.5
1415801_at	13342.9	11341.7	9297.5	8407.5	2541.9	2824.9
1415802_at	7394.1	7593.4	7194.3	5389	3944.3	3632.6
1415803_at	962.7	1076.7	886	462.6	527.5	487
1415804_at	581	581.7	664.4	341.4	144.6	520.5
1415805_at	19.8	24.7	22.5	27.6	153.6	9.8
1415806_at	2085.4	1634.7	2074.6	1876.3	1891.5	2709.4
1415807_s_at	5909	6161.7	5861.1	6301.8	5326.4	5432.3
1415808_at	99.4	140.7	14	114.5	43.7	77.1
1415809_at	118.2	112.5	56.8	139.3	118.1	11.2
1415810_at	4417.8	3845.9	4496.8	5505.7	5623.5	5308.1
1415811_at	1190.3	1398.3	1264.8	1884.6	1369.6	1083.3
1415812_at	23049.2	22495.5	22786.7	21827.7	18290.8	18110
1415813_at	6969.8	6318.3	6921.1	6020.5	6654.3	5990.3
1415814_at	11104.5	12293.4	10243.3	9975.2	7716.6	6641.1
1415815_at	145.7	284.2	94.6	215	232.6	79.8
1415816_at	19506.8	19208.5	20279.3	18004.2	17895.9	18042
1415817_s_at	11068.9	9792.7	11777.6	11557.3	10206.8	13125.4
1415818_at	6684.1	6462.5	7957.2	9245.2	10705	10679.3
1415819_a_at	12859.7	13162.3	12914.5	13377	11422	10021.3
1415820_x_at	15716.4	14474.7	18275.3	14177.5	16678.2	17583.4
1415821_at	14550.1	14118.5	15080.9	10207.7	11027.4	12419.8
1415822_at	48876.2	44579.6	46090.5	33941.7	38333.6	36233.1
1415823_at	17580.2	15652.6	13571.7	11784.5	8188.3	8958.7
1415824_at	3579.2	3324.5	2276.9	2569.7	1296.8	1581.4
1415825_s_at	4105.4	4226.1	4272.8	3578.4	3704.5	3609.2
1415826_at	4945	5114.2	4412.4	3914.3	3679.8	3613.4
1415827_a_at	13834.2	12980.2	14153.9	12586.7	13178.8	13865.6
1415828_a_at	8157.3	8162.8	7615.3	9998	7052	7124
1415829_at	9122.4	7965.6	10358.1	10047.8	10507.7	11123
1415830_at	2143.9	2256.5	2062.7	2062	2116.5	2351.3
1415831_at	16445.3	17159.1	15169	18194.1	16334.3	15041.8
1415832_at	20880.9	16348.5	24003.4	21407.4	28576.1	33503
1415833_x_at	103052.7	113763.5	103507.4	107792.5	109886.9	100164.7
1415834_at	5060.5	3605.8	4129.1	4076.6	4265.9	4899.9
1415835_at	52.8	261.5	18.7	178.6	67.1	154.7
1415836_at	3463.9	4180.2	4232.8	3566.1	3848.1	3840.6
1415837_at	82.8	107.3	73.4	47	10.5	123.2
1415838_at	8036.5	7616.6	7400.9	7315.6	6860	8451
1415839_a_at	55297.6	52677.2	60707.9	50744.5	53546	56960.7
1415840_at	8657.4	7539.8	8830.9	6121.8	6659.4	7870
1415841_at	9864.1	10429	9132.1	8687.7	8967.2	8851.5
1415842_at	1233.9	1389.7	914.8	1200.2	1302.4	1233.5
1415843_at	793.3	479.8	514.5	556.7	372.7	370.8
1415844_at	126.2	296.5	23.7	122.8	234.2	215.5
1415845_at	346.4	259.3	187.6	558.5	429.2	365.4
1415846_a_at	123	99.2	146.4	37.3	188.2	25.9
1415847_at	127.9	201.9	128.7	49.7	260.4	291.2
1415848_at	77.3	634.6	248.8	405.1	181.7	261.5
1415849_s_at	31144.7	30233.3	31902.9	43135.8	44920.8	39735.9
1415850_at	3099.3	3557.3	3547.1	3540.4	3132.4	3092.6
1415851_a_at	18636	19218.5	17889.6	17092	18108.9	15604.2
1415852_at	17383.2	16917.7	18267.2	14544.2	13580.2	13720.3
1415853_at	1164.9	1454	1574.8	1859.2	1418.8	1428.7
1415854_at	590.3	710.9	484.2	753.7	746.1	979.5
1415855_at	16569.5	16012.7	18285.8	19133.6	20667.9	23843.8
1415856_at	1813.8	1698.6	1906.3	1434.4	1324.7	1406.6
1415857_at	1809	2232.9	1853.5	1930.5	1435.6	1549.7
1415858_at	20822.8	21962.2	25577.6	21685	20389.3	22404.4
1415859_at	4514.6	4726.8	4244.5	4912.5	2930.4	3900.8
1415860_at	15265.7	15807.4	16078.1	14792.9	16690.5	15301.7
1415861_at	485	576	688.4	466.7	592.1	460.3
1415862_at	485.9	452.9	275	433.1	378.4	299.9
1415863_at	24744	23661.8	26820	24338.3	21707.5	25049.8
1415864_at	1001.8	877.6	825.2	1321.5	1542.2	1643.1
1415865_s_at	1167.3	475.8	1252.8	821.8	1744	2090.7
1415866_at	2102.7	2500.1	2086.9	1457.4	1221.1	1266.5
1415867_at	22100.8	21370	23306.3	17778.3	20825.1	20416.8
1415868_at	212.7	39.1	208.6	24	87.7	112.1
1415869_a_at	11864.2	12515.3	13642.3	13312	12912.9	12842.8
1415870_at	20830.6	20269.8	21346.6	25598.9	25809.4	21879.7
1415871_at	8458.4	10504.3	7942.1	2627.6	2737.4	2606.5
1415872_at	22285.6	22933.6	22130.3	24504	25577.6	26518.8
1415873_a_at	7386.9	7647.2	8246.6	7421.1	7710.3	6664.8
1415874_at	4672.8	4675	5054.6	5118.6	5348.3	5944.5
1415875_at	204.9	99.4	72.2	38.2	80.5	147.7
1415876_a_at	78520	80205.1	76849.3	75667.8	76598.4	74613.5
1415877_at	2522.3	2498.6	2739.5	3217.9	1509.5	3405.2
1415878_at	7339	7108	7931.3	9271.8	8262.4	7304
1415879_a_at	112324.2	116979.1	114635.7	105173.9	107770	102601.9
1415880_a_at	15181.2	14512.7	15463.9	15630.6	15511.2	15982.7
1415881_at	6174.7	5570.3	5115.4	6435.8	5466.5	5662.8
1415882_at	7714.2	8065.1	7873.2	8133.8	6796.2	8752.5
1415883_a_at	18.5	39.2	34.8	72.7	25.3	20.3
1415884_at	447.8	530.9	376.2	519.2	367.8	639.7
1415885_at	109.2	54.4	176.9	170.6	100	145
1415886_at	548.1	340.6	631.4	795.9	577.4	701.2
1415887_at	15429.7	16241.6	16056.7	16659.9	14283	14644.9
1415888_at	5989.2	5817.8	6528.3	6214.8	8358.8	6097.1
1415889_a_at	28935.1	23602.3	28961.4	23179.4	27293	26374
1415890_at	7060.8	7838.2	7998.3	6286.4	4410.1	5531.7
1415891_at	8312.9	8702.9	8696.4	7468.2	7238.7	6920.1
1415892_at	3352.7	4011.4	3833	6834.5	7747.2	6517.9
1415893_at	1392.1	1451.9	1075.3	2498.1	1241.9	1106.3
1415894_at	1362	1215.6	1139.9	1524	1448.7	1207.1
1415895_at	5781.2	6854.5	5432.8	6088.4	5671.3	7330.1
1415896_x_at	2965.1	1260	879.3	1348.8	2038.9	563.8
1415897_a_at	21435.2	19195.9	23025.5	18076.7	20581.9	22851.5
1415898_at	71.7	33.5	63.3	103.5	114.8	86.7
